test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,buy-distributed-lock,00:00:30,global information,6924,6924,0,230.8,5.55,429.12,1059.56,423.17,436.99,519.17,553.98,76.63,0.337,0.337,0.337,2.278,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,read-products,00:00:30,global information,165265,165265,0,5508.83,0.47,17.94,571.62,17.07,18.34,22.24,27.6,14.42,0.475,0.475,0.476,76.598,0,0,0,0,0,0,0,0,0,0,0,0,0
