test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,buy-distributed-lock,00:00:18,global information,7396,1487,5909,82.61,6.17,424.57,1061.3,441.09,492.54,531.97,989.7,155.81,0.337,0.337,0.337,0.489,328.28,73.28,192.41,422.33,191.36,194.69,202.62,286.98,20,0.304,0.304,0.304,1.753
nbomber_default_test_suite_name,nbomber_default_test_name,read-products,00:00:18,global information,117791,117791,0,6543.94,0.43,14.99,600.08,13.57,16.4,20.77,25.31,17.49,0.471,0.471,0.474,54.217,0,0,0,0,0,0,0,0,0,0,0,0,0
